brand_id,sku,name,ean,category,packing_unit,cost_price,manufacturer,weight,length,width,height,dishwasher,microwave,volume,description,image_url
9cfba3f5-8c7c-4ce9-b63e-681c8c2ae447,661346,Moin D@H Tray,4021766281188,DI D@H Tray,6,2.25,PPD,100,14,23,0,Yes,Yes,,Breakfast trays made out of formica with melamine covering. The measures are 23.3 x 14.3 cm. The trays are dishwasher safe.,
9cfba3f5-8c7c-4ce9-b63e-681c8c2ae447,661344,Schönes Leben D@H Tray,4021766275095,DI D@H Tray,6,2.25,PPD,100,14,23,0,Yes,Yes,,Breakfast trays made out of formica with melamine covering. The measures are 23.3 x 14.3 cm. The trays are dishwasher safe.,
9cfba3f5-8c7c-4ce9-b63e-681c8c2ae447,661343,Enjoy Little Things D@H Tray,4021766274913,DI D@H Tray,6,2.25,PPD,100,14,23,0,Yes,Yes,,Breakfast trays made out of formica with melamine covering. The measures are 23.3 x 14.3 cm. The trays are dishwasher safe.,
9cfba3f5-8c7c-4ce9-b63e-681c8c2ae447,661342,Make me Smile D@H Tray,4021766274869,DI D@H Tray,6,2.25,PPD,100,14,23,0,Yes,Yes,,Breakfast trays made out of formica with melamine covering. The measures are 23.3 x 14.3 cm. The trays are dishwasher safe.,
9cfba3f5-8c7c-4ce9-b63e-681c8c2ae447,661341,Dream Big D@H Tray,4021766274814,DI D@H Tray,6,2.25,PPD,100,14,23,0,Yes,Yes,,Breakfast trays made out of formica with melamine covering. The measures are 23.3 x 14.3 cm. The trays are dishwasher safe.,
9cfba3f5-8c7c-4ce9-b63e-681c8c2ae447,661340,Pause Tray D@H,4021766271776,DI D@H Tray,6,2.25,PPD,100,14,23,0,Yes,Yes,,Breakfast trays made out of formica with melamine covering. The measures are 23.3 x 14.3 cm. The trays are dishwasher safe.,
9cfba3f5-8c7c-4ce9-b63e-681c8c2ae447,661339,Bonjour Tray D@H,4021766271738,DI D@H Tray,6,2.25,PPD,100,14,23,0,Yes,Yes,,Breakfast trays made out of formica with melamine covering. The measures are 23.3 x 14.3 cm. The trays are dishwasher safe.,
9cfba3f5-8c7c-4ce9-b63e-681c8c2ae447,661338,Coffee Lover Tray D@H,4021766269391,DI D@H Tray,6,2.25,PPD,100,14,23,0,Yes,Yes,,Breakfast trays made out of formica with melamine covering. The measures are 23.3 x 14.3 cm. The trays are dishwasher safe.,
9cfba3f5-8c7c-4ce9-b63e-681c8c2ae447,661337,Little Hearts Tray D@H,4021766269384,DI D@H Tray,6,2.25,PPD,100,14,23,0,Yes,Yes,,Breakfast trays made out of formica with melamine covering. The measures are 23.3 x 14.3 cm. The trays are dishwasher safe.,
9cfba3f5-8c7c-4ce9-b63e-681c8c2ae447,661335,Schöne Frau Tray D@H,4021766267366,DI D@H Tray,6,2.25,PPD,100,14,23,0,Yes,Yes,,Breakfast trays made out of formica with melamine covering. The measures are 23.3 x 14.3 cm. The trays are dishwasher safe.,
9cfba3f5-8c7c-4ce9-b63e-681c8c2ae447,661334,Perfectly Imperfect Tray D@H,4021766267335,DI D@H Tray,6,2.25,PPD,100,14,23,0,Yes,Yes,,Breakfast trays made out of formica with melamine covering. The measures are 23.3 x 14.3 cm. The trays are dishwasher safe.,
9cfba3f5-8c7c-4ce9-b63e-681c8c2ae447,661333,Love yourself Tray D@H,4021766267304,DI D@H Tray,6,2.25,PPD,100,14,23,0,Yes,Yes,,Breakfast trays made out of formica with melamine covering. The measures are 23.3 x 14.3 cm. The trays are dishwasher safe.,
9cfba3f5-8c7c-4ce9-b63e-681c8c2ae447,661332,Klug war's nicht Tray D@H,4021766267274,DI D@H Tray,6,2.25,PPD,100,14,23,0,Yes,Yes,,Breakfast trays made out of formica with melamine covering. The measures are 23.3 x 14.3 cm. The trays are dishwasher safe.,
9cfba3f5-8c7c-4ce9-b63e-681c8c2ae447,661331,Gönn dir Tray D@H,4021766267243,DI D@H Tray,6,2.25,PPD,100,14,23,0,Yes,Yes,,Breakfast trays made out of formica with melamine covering. The measures are 23.3 x 14.3 cm. The trays are dishwasher safe.,
9cfba3f5-8c7c-4ce9-b63e-681c8c2ae447,661330,Geiler Typ Tray D@H,4021766267212,DI D@H Tray,6,2.25,PPD,100,14,23,0,Yes,Yes,,Breakfast trays made out of formica with melamine covering. The measures are 23.3 x 14.3 cm. The trays are dishwasher safe.,
9cfba3f5-8c7c-4ce9-b63e-681c8c2ae447,661322,Tray Worldtraveler,4021766257572,DI D@H Tray,6,2.25,PPD,100,14,23,0,Yes,Yes,,Breakfast trays made out of formica with melamine covering. The measures are 23.3 x 14.3 cm. The trays are dishwasher safe.,
9cfba3f5-8c7c-4ce9-b63e-681c8c2ae447,661320,Tray Zuckerpuppe,4021766251655,DI D@H Tray,6,2.25,PPD,100,14,23,0,Yes,Yes,,Breakfast trays made out of formica with melamine covering. The measures are 23.3 x 14.3 cm. The trays are dishwasher safe.,
9cfba3f5-8c7c-4ce9-b63e-681c8c2ae447,661319,Tray Queen of Chaos,4021766256230,DI D@H Tray,6,2.25,PPD,100,14,23,0,Yes,Yes,,Breakfast trays made out of formica with melamine covering. The measures are 23.3 x 14.3 cm. The trays are dishwasher safe.,
9cfba3f5-8c7c-4ce9-b63e-681c8c2ae447,661313,Tray Herzensmensch,4021766251631,DI D@H Tray,6,2.25,PPD,100,14,23,0,Yes,Yes,,Breakfast trays made out of formica with melamine covering. The measures are 23.3 x 14.3 cm. The trays are dishwasher safe.,
9cfba3f5-8c7c-4ce9-b63e-681c8c2ae447,661305,Tray No Drama,4021766243391,DI D@H Tray,6,2.25,PPD,100,14,23,0,Yes,Yes,,Breakfast trays made out of formica with melamine covering. The measures are 23.3 x 14.3 cm. The trays are dishwasher safe.,
9cfba3f5-8c7c-4ce9-b63e-681c8c2ae447,661301,Tray Supergirl,4021766243223,DI D@H Tray,6,2.25,PPD,100,14,23,0,Yes,Yes,,Breakfast trays made out of formica with melamine covering. The measures are 23.3 x 14.3 cm. The trays are dishwasher safe.,
9cfba3f5-8c7c-4ce9-b63e-681c8c2ae447,661299,Tray Be Fabulous,4021766243254,DI D@H Tray,6,2.25,PPD,100,14,23,0,Yes,Yes,,Breakfast trays made out of formica with melamine covering. The measures are 23.3 x 14.3 cm. The trays are dishwasher safe.,
9cfba3f5-8c7c-4ce9-b63e-681c8c2ae447,661298,Tray Einzelstück,4021766243117,DI D@H Tray,6,2.25,PPD,100,14,23,0,Yes,Yes,,Breakfast trays made out of formica with melamine covering. The measures are 23.3 x 14.3 cm. The trays are dishwasher safe.,
9cfba3f5-8c7c-4ce9-b63e-681c8c2ae447,661284,Tray Vollzeit Prinzessin,4021766233200,DI D@H Tray,6,2.25,PPD,100,14,23,0,Yes,Yes,,Breakfast trays made out of formica with melamine covering. The measures are 23.3 x 14.3 cm. The trays are dishwasher safe.,
9cfba3f5-8c7c-4ce9-b63e-681c8c2ae447,661281,Tray Lieblingsmensch,4021766233125,DI D@H Tray,6,2.25,PPD,100,14,23,0,Yes,Yes,,Breakfast trays made out of formica with melamine covering. The measures are 23.3 x 14.3 cm. The trays are dishwasher safe.,
9cfba3f5-8c7c-4ce9-b63e-681c8c2ae447,661279,Tray Best Grandma,4021766233088,DI D@H Tray,6,2.25,PPD,100,14,23,0,Yes,Yes,,Breakfast trays made out of formica with melamine covering. The measures are 23.3 x 14.3 cm. The trays are dishwasher safe.,
9cfba3f5-8c7c-4ce9-b63e-681c8c2ae447,661278,Tray Best Dad,4021766233057,DI D@H Tray,6,2.25,PPD,100,14,23,0,Yes,Yes,,Breakfast trays made out of formica with melamine covering. The measures are 23.3 x 14.3 cm. The trays are dishwasher safe.,
9cfba3f5-8c7c-4ce9-b63e-681c8c2ae447,661277,Tray Best Mom,4021766233026,DI D@H Tray,6,2.25,PPD,100,14,23,0,Yes,Yes,,Breakfast trays made out of formica with melamine covering. The measures are 23.3 x 14.3 cm. The trays are dishwasher safe.,
